INF109,INF110_TOT,PatrullajeTotal,Denuncias
2,9,20,4
1,7,30,0
5,24,240,11
4,13,270,1
1,9,66,2
3,8,34,2
3,24,220,4
2,7,129,0
2,7,60,3
1,7,390,1
3,8,150,3
1,9,180,0
1,8,43,0
1,7,30,0
4,15,180,2
6,110,150,98
1,7,450,0
4,21,90,2
2,17,70,0
2,11,130,0
1,14,108,1
4,60,120,40
4,35,345,18
2,14,150,0
2,17,180,0
4,23,180,9
4,16,330,0
4,21,150,5
4,9,116,2
5,22,60,13
2,19,270,1
2,13,100,1
2,10,130,5
4,23,90,1
1,9,110,0
1,12,60,0
6,102,900,312
4,30,144,24
3,25,0,17
1,24,140,1
2,17,0,8
5,60,720,58
2,20,20,2
4,28,120,23
3,21,90,11
2,22,240,5
4,25,120,13
4,30,270,17
4,25,90,33
4,87,180,81
2,21,142,21
3,20,180,16
2,18,150,11
4,26,240,34
5,43,330,84
4,22,120,38
2,17,240,6
4,63,210,40
2,11,116,10
3,24,91,15
4,30,90,25
3,37,180,25
2,53,150,84
4,32,270,25
2,24,3,2
3,15,90,2
1,22,90,12
4,24,110,35
2,17,120,6
4,18,270,18
6,54,240,61
5,41,270,34
2,29,80,7
3,21,150,32
1,8,45,0
1,12,60,0
1,12,50,0
1,10,105,0
3,65,180,26
1,12,129,4
1,12,110,0
2,12,83,2
1,15,120,0
2,15,80,0
3,15,120,2
1,15,60,0
2,11,135,0
4,36,205,10
2,12,90,0
3,37,180,22
3,13,90,1
1,10,60,0
2,9,60,2
4,24,90,3
1,13,20,1
1,10,47,0
1,14,110,0
2,31,120,3
2,21,60,8
1,10,90,0
1,12,49,0
2,10,105,2
3,13,30,0
1,10,165,0
4,12,0,12
2,11,61,0
2,9,60,0
2,12,61,0
2,9,0,0
4,14,150,1
4,42,110,16
3,30,94,2
3,12,150,0
4,18,392,7
3,16,70,3
4,19,391,7
5,39,142,24
4,16,150,0
4,20,150,12
2,13,144,0
1,8,28,0
3,8,92,1
2,15,32,0
4,63,240,39
4,88,684,70
3,15,90,2
4,66,150,57
2,23,90,15
1,21,90,4
4,34,180,12
4,26,660,10
2,22,90,0
1,17,120,2
4,40,90,19
1,15,150,1
2,21,90,7
5,75,330,72
4,39,210,18
2,16,210,5
6,103,945,248
2,63,1080,29
3,93,1440,51
2,72,270,52
5,74,630,67
5,63,786,65
5,96,960,140
4,70,540,18
5,87,720,41
5,82,150,49
5,78,240,60
5,86,720,74
5,77,900,44
6,83,90,63
5,44,180,6
5,78,1260,41
6,95,990,125
4,79,231,104
6,81,180,70
1,4,45,0
1,8,171,0
4,14,90,0
1,28,90,0
1,7,60,2
4,8,210,2
4,60,540,21
4,64,120,34
6,22,120,1
4,41,180,21
2,18,1440,2
3,19,450,6
4,80,30,131
2,15,240,0
5,75,60,60
1,7,360,0
3,51,825,21
6,92,123,192
5,99,270,28
1,11,150,0
2,33,90,7
2,8,90,1
2,9,90,0
3,14,180,7
4,32,126,17
1,13,32,0
1,5,188,0
2,5,270,4
1,9,120,5
1,15,60,21
3,17,18,4
3,25,90,2
2,7,90,0
2,7,30,0
1,9,17,0
4,18,51,1
1,28,1080,2
2,25,180,6
3,9,273,8
6,105,30,112
1,9,80,2
2,15,75,0
2,15,70,2
2,17,120,1
4,14,180,2
4,15,136,0
2,16,90,3
2,8,130,0
2,11,120,0
1,17,135,1
2,18,120,3
1,18,45,5
3,6,120,0
2,15,90,0
3,13,5,0
1,9,120,0
2,12,280,0
4,34,90,22
2,19,0,6
1,5,12,0
1,5,180,0
1,7,60,1
2,7,16,0
2,9,90,0
1,7,138,2
2,15,74,1
1,15,90,1
2,7,91,2
1,11,75,0
2,17,90,0
2,7,90,0
1,4,30,0
1,12,30,1
1,12,90,2
1,11,30,1
1,10,60,2
1,8,80,0
1,7,240,1
4,16,150,0
2,14,30,0
3,4,2,2
1,12,225,1
2,16,150,0
3,9,108,3
1,29,110,4
4,54,6,28
2,17,90,4
4,11,210,7
2,29,110,4
3,7,90,0
1,17,210,4
4,50,180,31
3,11,180,0
2,11,210,0
3,11,180,4
2,11,150,0
2,15,90,0
1,15,90,0
1,16,1320,1
5,65,4,9
1,9,80,0
1,13,60,0
1,11,130,0
3,19,10,0
6,78,196,67
2,31,60,6
5,64,720,42
3,9,30,3
1,10,45,3
